Object IDs,First Version Object ID,KeyValuePair.Assembly Key,First Category,First elementId,Sum of Embodied Carbon_lbs/CO2,First Area,Sum of Embodied Carbon per ft2(lbsCO2/ft2)
290f16ea10289acd18e2fe4db6bff277,15734f8ae9f81ad6e273d75acad015f6,W11,Walls,13720230,18625.51122,864.4950477,21.54496
296204e97fb3855869d53d3812ed0572,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,15021912,256.46208,9.1875,27.91424
2a4d6b5457dad1f0a109747081fd4f46,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,14544763,1762.044587,336.0833333,5.24288
2af1eb042af76fef2d8e9c0bf266972a,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11300684,266.92992,9.5625,27.91424
2af682e338eddfdf01af7904eff66838,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13926896,5992.8384,214.6875,27.91424
2afbf5d4ef0c45d0cb87e69155b90191,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13742003,2049.952,73.4375,27.91424
2b569fa99ffb5b10a17768a85f3583c9,15734f8ae9f81ad6e273d75acad015f6,W04,Walls,13749420,1027.918848,88.94444444,11.556864
2be75f98a525d09d47526e7823c03ddb,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10432046,1885.180444,67.53472222,27.91424
2c2ab376b99d4919e10c12d39811a2fc,15734f8ae9f81ad6e273d75acad015f6,W03,Walls,16063924,19.37852,3.696159363,5.24288
2c81aa2f2c87c59d11e63b78d7ecbaf4,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13556386,937.1866844,33.57378472,27.91424
2dc6479176e0aa4afdf5630fe12f3a0b,15734f8ae9f81ad6e273d75acad015f6,W07,Walls,14958321,1578.849248,36.8333724,42.86464
2e3455c81dccc7074161edd92d15ce3d,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10448790,3095.86368,110.90625,27.91424
2ef6d4cc96eb287c046a653385c12e04,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14544846,1008.40192,36.125,27.91424
3182212ee98d273dde2a61781808c1f9,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,14447463,6194.448,274.21875,22.58944
3254637656f71be39cdcfb7a0927ef7d,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14544766,4979.20256,178.375,27.91424
32dc3ca555da8baa7a6fab967fba61ef,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,14447571,3227.230933,142.8645833,22.58944
32e51123103a8d23b4bf271d020d0dd5,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13535542,35367.44323,1267.003624,27.91424
331cd472804b0ebad48893d415b5bd11,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10448808,3058.063147,109.5520833,27.91424
334258a7a8b92b0dc78bce5e904280fc,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,11383780,7369.319232,364.1267361,20.238336
335ea9905a7659f391d2dd6bb0781ded,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14409076,12778.61568,457.78125,27.91424
338bdcb19ba30a7b2d7058fb7e44b669,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13721223,2348.28544,84.125,27.91424
33af1f3066687125e4ae3928b7f0a3f2,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14384951,0,0,27.91424
3420153f24dd2c466e14e4f27dc79d54,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13720365,889.6210133,31.86979167,27.91424
34e3e4c0535f8be393f1b8351d20bc75,15734f8ae9f81ad6e273d75acad015f6,W08,Walls,11386367,624.682944,30.86631944,20.238336
3502f9488942448e69627dae420b1298,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11300700,813.00224,29.125,27.91424
3530a8bddebd3b2cb30bfb2933a64e88,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,17145552,1791.890667,64.19270833,27.91424
35ac08ded6dcb4d3e2328371be7d51cd,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,17822743,3684.170827,131.9817708,27.91424
363a8f9760e9e27658e2b06546a9b298,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11306795,109.3307733,3.916666667,27.91424
36bddf26f729091c75fb992ca17cfae5,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10448851,3095.86368,110.90625,27.91424
3778c623d38d8dd39d94034cb6078bcf,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,17868262,286.963527,10.28018413,27.91424
37e73a85642fe65b30611b33951ec2bf,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10806110,5204.454969,186.4444444,27.91424
385a5e115786d47cb3de55cc2303991e,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13450696,1219.212587,43.67708333,27.91424
387150a4bf717f49a74348d60dc3b945,15734f8ae9f81ad6e273d75acad015f6,W09,Walls,15085342,732.1824922,48.0009375,15.253504
39054583c9b62bd5b3de7121c3608d17,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13450375,1543.35216,55.2890625,27.91424
394cd724be0c0522fea52e605d2e63fc,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,12623150,2778.242276,99.5277778,27.91424
39949612644066c60be922b9e721b45f,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,11221048,7508.93056,269,27.91424
3acd09a6d716acc5614059fc5f3d4c2b,15734f8ae9f81ad6e273d75acad015f6,W09,Walls,10395477,8717.453208,571.5049609,15.253504
3ae3e3e33cf7954eb4cd7f1dc07231ba,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,16138019,1674.8544,60,27.91424
3b54c1bfa3d01661f89d01e32c904285,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10447322,3270.618453,117.1666667,27.91424
3b5599220cd6e9bd29b0de19e2cbb9a5,15734f8ae9f81ad6e273d75acad015f6,W02,Walls,15586914,7288.80048,322.6640625,22.58944
3c81be80bdf721814b6a28b1441d6011,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13740710,2348.28544,84.125,27.91424
3d21925e7a34d72b1a043286a52eae08,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,13722468,5328.13056,190.875,27.91424
3db4cac734fbe28e2212afac261e93a1,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,14977115,1849.852526,66.26913452,27.91424
3e8d5edb1be2b8c5caba22c2cad3f341,15734f8ae9f81ad6e273d75acad015f6,W01,Walls,10448925,615.9003244,22.0640191,27.91424
